,0,0,0,0,0,2.214497
,0,8.018923,342.1832,2.226049,-0.3337708,3.575219
,0,359.8228,348.0967,3.975169,0.407959,4.575219
,0,355.2744,8.871619,4.197415,0.002990723,5.575219
,0,356.9944,315.0355,6.187644,0.3343811,6.575219
,0,10.53015,23.79113,4.183373,-0.2755318,7.575219
,0,5.589914,346.7406,357.369,-0.1318054,8.575218
,0,8.167612,1.609175,354.7744,-0.0284729,9.575218
,0,359.8002,347.5463,358.7471,115.6214,10.57522
,0,359.0731,336.0751,356.9521,-0.1919556,11.57522
,0,7.230309,332.8464,356.6569,0.03964233,12.59522
